role,company,exp,salary,location,desc,req
Business Analyst - Data Analyst - Financial domain,Larsen & Toubro Infotech Limited,5-8 Yrs,Not disclosed,Mumbai,Job description 5-8 year of experience as Business Analyst Data Analyst. Should have st...,"Data analysis
Business Analyst
Fixed income
Analytical
Reconciliation
Consulting
Data Analyst
Capital market"
Business Analyst - Data Analyst - Financial domain,Larsen & Toubro Infotech Limited,5-8 Yrs,Not disclosed,Mumbai,Job description 5-8 year of experience as Business Analyst Data Analyst. Should have st...,"Data analysis
Business Analyst
Fixed income
Finance
Reconciliation
Consulting
Data Analyst
Capital market"
Business Analyst - Data Analyst,Larsen & Toubro Infotech Limited,5-8 Yrs,Not disclosed,Pune,Job description 5-8 year of experience as Business Analyst Data Analyst. Should have St...,"Data analysis
Business Analyst
Consulting
Capital market
Investment banking
Stakeholder management
Financial services
SQL"
Business Analyst - Data Analyst,Larsen & Toubro Infotech Limited,5-8 Yrs,Not disclosed,Pune,Job description 5-8 year of experience as Business Analyst Data Analyst. Should have St...,"Data analysis
Business Analyst
Consulting
Capital market
Investment banking
Stakeholder management
Financial services
SQL"
Senior SQL Data Analyst,DeepR Analytics,1-6 Yrs,"6,00,000 - 12,00,000 PA.","Delhi NCR, Noida",Willing to work in the night shift: 6:30 PM to 3:00 AMUniversity degree / college diplo...,"Stock Market Operations
Trading Operator
market data
Mathematics
Trading Executive
Physics
Algorithms
Statistical Modeling"
Sr . Data Analyst,Spectrum Talent Management,8-10 Yrs,Not disclosed,Bengaluru,Roles and Responsibility : Sr.Data Analyst 8 to 10 years Prerequisites: Bachelor s degr...,"IT services
Application programming
Datastage
Data quality
Oracle
SSIS
Data mining
Information technology"
Business Data Analyst Internship,ihackers,0-1 Yrs,Not disclosed,Delhi,Job Description Analyse client records Assist in resolving business issues using system...,"Database design
Business Data Analyst
Information security
Web development
Market research
Business intelligence
Internship
Vulnerability assessment"
Business Data Analyst,ihackers,0-3 Yrs,Not disclosed,Delhi,"JOB DESCRIPTION Managing master data, including creation, updates, and deletion. Managi...","Data analysis
Business Data Analyst
Business analysis
Information security
Web development
Flex
Business intelligence
Troubleshooting"
Senior Data Analyst - Bangalore,Naukri Premium - Employer Services,4-9 Yrs,"8,00,000 - 14,00,000 PA.",Bengaluru,"ResponsibilitiesExplore, query and transform large datasets of customer data and transa...","Subject Matter Expertise
Data Analysis
Big Data
Analytics"
LTI Hiring - Business data Analyst For Chennai,Larsen & Toubro Infotech Limited,7-12 Yrs,Not disclosed,Chennai,Job descriptionWe are looking for Business Data-analyst for Chennai center.Job Descript...,"Regulatory Reporting
Documentation
LGD
EAD
business analyst
FRY14A
Ccar
SQL"
Business / Data Analyst,Foursis Technical Solution,2-3 Yrs,Not disclosed,Jaipur,JD Job functions area : Business / Data Analyst Location : Jaipur Experience : 2 - 3 ye...,"Data analysis
Business Analyst
Business analysis
Business Data Analyst
Analytical"
Business Data Analyst,iHackers,1-4 Yrs,Not disclosed,Delhi,"Managing master data, including creation, updates, and deletion. Managing users and use...","Computer science
data cleansing
metadata
Information security
data integrity
Data Analyst
Management
Troubleshooting"
Sr. Data Analysts,EGO FLOORING PVT. LTD.,2-6 Yrs,Not disclosed,India,"Sr. Data Analysts, IndiaYou would be part of the Research team, which supports the stra...","Industry research
Consulting
Management"
Business Analyst - Data Analyst,Larsen & Toubro Infotech Limited,5-10 Yrs,Not disclosed,Chennai,Job Description: Min 5 - 12 years of experience as Business Analyst Data Analyst. Shoul...,"Analytical skills
Business Analyst
SQL database
Time management
Market risk
Data Analyst
data mapping
Management"
Sr . Data Analyst,Analytics Vidhya Educon Pvt. Ltd,4-9 Yrs,Not disclosed,Bengaluru,"Job description: The position will use statistical, mathematical, and predictive modeli...","Data analysis
data science
HTML
Predictive modeling
Data quality
Data mining
Business intelligence
Analytics"
"Sr . Analyst , Data",Analytics Vidhya Educon Pvt. Ltd,4-9 Yrs,Not disclosed,Bengaluru,Job description: The position will use Business Intelligence tools to integrate data se...,"Data analysis
Interpersonal skills
Analytical
Hadoop
Hypothesis Testing
Predictive modeling
HTML
Business intelligence"
Business Data Analyst,ihackers,1-4 Yrs,Not disclosed,Delhi,"JOB DESCRIPTION Managing master data, including creation, updates, and deletion. Managi...","Computer science
Data analysis
Business analysis
Information security
Web development
Flex
Business intelligence
Troubleshooting"
Senior Data Analyst,Tentacle solutions,8-13 Yrs,Not disclosed,Kanpur,"Required: VB.NET, .NET Framework , ASP.NET MVC , T- SQL, Database schema design. Ideall...","Performance tuning
css
technical
software
html5
HTML
JSON
oop"
"Business Analyst - Data Analyst, Regulatory, RBI ADF Reporting",Larsen & Toubro Infotech Limited,3-8 Yrs,Not disclosed,"Pune, Mumbai",Should have experience in ADF (Preferred Location (Mumbai/ Pune) Experience RangeIT Exp...,"Regulatory Reporting
Basel Iii
Automated data flow
Business Analysis"
Business and Data Analyst - Alphonso,Alphonso Inc.,2-5 Yrs,Not disclosed,Bengaluru,Business and Data Analyst - Alphonso We are looking for a Business and Data Analyst to ...,"Analytical
Ad operations
Data Analyst
Account management
Campaigns
Management
Advertising
digital advertising"
Senior Data Analyst,L&T Technology Services,8-12 Yrs,Not disclosed,Bengaluru(Manayata Tech Park),"Mathematics, statistics, computer, finance, economics and other related majors, profici...",Data Analysis
"Senior Analyst , MI & Data Infrastructure",Analytics Vidhya Educon Pvt. Ltd,0-5 Yrs,Not disclosed,Chennai,Job description: Responsibilities Adhere to delivery timelines and quality norms (templ...,"data science
Process improvement
Analytical
HTML
Oracle
Data mining
Macros
Operations"
Business Analyst/ Senior Business Analyst - Data Analytics - BFSI,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,"Delhi NCR, Bengaluru, Gurgaon",Desired Experience : - 2-5 years of total experience of Data Analytics / Data Insights ...,"SAS
Data Management
Data Analytics
Analytics
Business Analysis"
Data Business Analyst,Diverse Lynx India Pvt. Ltd,1-5 Yrs,Not disclosed,Gurgaon,Job Title : Data Business Analyst Experience Level: 6 years Location:- Gurgaon- Job Des...,"Business Analyst
Compliance
Consulting
Manager Technology
Business management
Gap analysis
Data quality
Information management"
Senior Data Engineering Analyst,Optum Global Solutions (India) Private Limited,5-7 Yrs,Not disclosed,"Bengaluru, India",Senior Data Engineering Analyst (872011)Job SavedPosition Description Job Responsibilit...,"DW
SSAS
Cube
Stored Procedures
OLAP
PLSQL
SQL Server
SSIS"
Guidewire - Business Analyst - Data Migration,Zensar Technologies Limited,7-12 Yrs,Not disclosed,"Pune, Bengaluru, Hyderabad",Good to have understanding of Guidewire ClaimCenter and related modules and functionali...,"planning
Data Migration
Software Architecture
claim center
property
Static Data
property & casualty
Elicitation"
Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,"5,00,000 - 12,00,000 PA.",Pune,Experience in developing Functional Specifications Document and mapping to application ...,"Securities reference data
Bloomberg
Golden Source
Reference Data
Product reference data
Asset control
Market reference data
Instrument reference data"
Lead - Data Scientist - Kota ( Rajasthan ).,Consult in India,4-9 Yrs,"15,00,000 - 30,00,000 PA.",Kota,Manage a team of data scientists and big data specialists Lead data mining and collecti...,"Data Validation
Business Intelligence
C++
Big Data Analytics
Data Mining
Machine Learning
SQL
Data Integration"
Business Analyst ( Immediate Joiner only apply),Daffodil Software Private Limited,3-5 Yrs,Not disclosed,Gurgaon,Should have worked for EPC / Oil & Gas domain and Telecom domainPosition : Business Ana...,"Report Generation
Requirement Gathering
Data Management
Data Analysis
Process Improvement
Advanced Excel
Business Analysis"
CW Digital Business Analyst IV,Varite,4-7 Yrs,Not disclosed,Bengaluru,Description Design and build data management capabilities including the enterprise data...,"Computer science
Performance tuning
Data analysis
process integration
Statistical analysis
Business Analyst
Data management
Data modeling"
Business System Analyst - Data Analytics & Reporting,Confidential,3-5 Yrs,Not disclosed,"Mumbai, Windsor",Job Scope : - The business analyst will be responsible to support MS Procurement in rep...,"Excel
SSAS
Power Bi
System Analysis
Data Analysis
SQL Server
SSIS
Data Analytics"
Senior Data Engineering Analyst,Optum Global Solutions (India) Private Limited,4-8 Yrs,Not disclosed,Hyderabad,Roles and Responsibilities Position Description Combine two of the fastest-growing fiel...,"Zeppelin
Storm
Open Source
Big Data
HDFS
Kafka
Flume
HBase"
MIS Executive (Data Analyst) at Vadodara,Varenyam Healthcare Pvt Ltd,4-7 Yrs,"3,00,000 - 5,00,000 PA.",Vadodara,"Knowledge in data analysis tools .Knowledge in Advanced MS Excel, Word, PowerPoint .Kno...","Formulas
MIS Preparation
Forms
Negotiation Skills
MIS Operations
Business Communication Skills
Advanced Excel
Data Entry"
Senior Analyst-Data Analytics,The Nielsen Company,2-5 Yrs,Not disclosed,Vadodara,RESPONSIBILITIES Deliver as one part of our media projects team in driving high-quality...,"Statistical modeling
SAS
Time management
Market research
M&A
Actuarial
Data analytics
Management"
Senior Data Scientist/CTO,Excel Enterprises,3-8 Yrs,"7,00,000 - 15,00,000 PA.",Chennai,Greetings from Excel Enterprises !!!We have opportunities for Senior Data Scientist/CTO...,"python
data analysis
SAS
machine learning
sql
tableau
R
nlp"
Lead Data Scientist (ML),TRH Consultancy Services,6-11 Yrs,Not disclosed,"Bengaluru, Hyderabad",proficiency with variety of approaches and modelsfrom a reputed institute8 years of exp...,"Data Science
Logistic Regression
Exploratory Data Analysis
Linear Regression
Decision Trees
SVM
Clustering
Machine Learning"
Data Analyst/Product Analyst - eCommerce,The Hiring Story,1-5 Yrs,Not disclosed,Mumbai,Roles and ResponsibilitiesMust have:- 1+Experience in Analytics - Should be familiar wi...,"Product Analyst
Google Analytics
Data Management
Data Visualization
Data Analyst
Data Analytics
Analytics
Adobe Analytics"
Data Analyst Role - Internet/eCommerce - IIM/IIT/BITS/FMS,The Hiring Story,0-2 Yrs,Not disclosed,Mumbai,Bachelors degree in Engineering or Master degree in Mathematics / statistics An analyst...,"Data Management
Data Visualization
Data Analytics
Statistics
Machine Learning
Analytics
SQL
Python"
Healthcare Data Analyst,Premier Medical Associates,2-7 Yrs,"3,50,000 - 6,00,000 PA.",Delhi NCR,Healthcare setting experience in payor and primary care physician space.Experience in p...,"financial analysis
medical
python
tableau
eclinicalworks
data analysis
access
finance"
Data Analyst Role - Internet/ecommerce - Iim/iit/bits/fms,TalentStack,0-2 Yrs,Not disclosed,Mumbai,Requirements:- - Bachelors degree in Engineering or Master degree in Mathematics / stat...,"Data Management
Data Visualization
Data Analytics
Statistics
Machine Learning
Analytics
SQL
Python"
Interns - Data Analyst,Leva Data Software Solutions Pvt. Ltd,0-1 Yrs,"2,00,000 - 2,50,000 PA.",Hyderabad,Internship will be for a duration of 6 months and can be extended Excellent data and ac...,"IT Skills
Python
Python"
Lead Data Scientist - Machine Learning Models,vPhrase,8-13 Yrs,Not disclosed,Pune,"Requirements : - Phd./Masters / Bachelors in Statistics, Computer Science, Economics or...","Data Science
R
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning"
Data Management Analyst - Sas/sql,DataGroup Geospatial Technologies Pvt. Ltd.,5-10 Yrs,Not disclosed,Chennai,"Female candidates only Full TimeTravel may be required for this job, as some data manag...","Reporting Analytics
Data Management Analyst
SAS
Data Management
Data Analyst
Data Analytics
SQL"
Data Management Analyst - Sas/sql,DataGroup Geospatial Technologies Pvt. Ltd.,5-10 Yrs,Not disclosed,Chennai,"Female candidates only Full TimeTravel may be required for this job, as some data manag...","Reporting Analytics
SAS
Data Management
Data Analyst
Data Analytics
SQL"
Data Analyst,Mosil Lubricants Pvt. Ltd.,1-4 Yrs,"2,00,000 - 4,00,000 PA.",Navi Mumbai,Identify valuable data sources and automate collection processes Experience in Power BI...,"Power Bi
Power Pivot
Data Analysis
Advanced Excel
SQL"
Data Analyst,Bharathire.com Private Limited,1-6 Yrs,"1,00,000 - 4,00,000 PA.",Pune(Dhayari),"Review residential appraisals for accuracy, relevancy, and consistency of data in the r...","quality review
Quality Check
US Mortgage
Data Analysis
quality analyst"
"SQL Data Analyst, Mangalore",LYKORA CONSULTING SERVICES PRIVATE LIMITED,1-2 Yrs,Not disclosed,Mangalore,Global Product based MNC is hiring Data Analysts with 1 to 2 years of experience in PL ...,"MySQL
PLSQL
SQL"
Big Data Analyst - Part time,Write Academy,1-6 Yrs,Not disclosed,Chennai,- 1+ years of experience in building SaaS products;- 1+ years of experience in building...,"NoSQL
cassandra
spark
MySQL
big data analyst
MongoDB
Oracle
SQL"
Data Analyst,Alpha Analytics Services Pvt Ltd,3-5 Yrs,Not disclosed,Pune,Job Summary Data preparation & analysis using R. Ability to connect to multiple databas...,"Excel
SQL Tuning
Analytical
R Programming
Data quality
Gap analysis
Data Analyst
Econometrics"
Data Analyst,Teplar Solutions,0-4 Yrs,Not disclosed,Coimbatore,Educational Qualifications B.E/B.Tech/B.Sc Experience 0 to 4 years Job Description Resp...,"Analytical
Litigation
Workflow
Customer support
Business Development Executive
Client interaction
Data Analyst
MS Office"
DATA ANALYST,Analytics Saves at Work India Pvt Ltd,1-3 Yrs,Not disclosed,Bengaluru,The Data Analyst role is a hands on individual contributor responsible for end-to-end d...,"Computer science
Cloud computing
Data analysis
GIT
Linux
Project management
Machine learning
Analytics"
ETL Data Analyst,Technosoft Global Services Pvt Ltd,3-5 Yrs,Not disclosed,Bengaluru,Job description Roles and Responsibility Must have skillset 3-5 years of proven working...,"IT services
System architecture
Data analysis
System programming
Healthcare
HTTP
data mapping
SDLC"
HR Data Analyst & Reporting,VISTRA INTERNATIONAL EXPANSION (INDIA) PRIVATE LIM ITED,3-6 Yrs,"2,50,000 - 4,00,000 PA.",Mumbai,"Job Title:Senior Associate - GHRSCCPurpose of Role Designing, developing and maintainin...","HR Processes
R
VBA
Microsoft tools
Data Analysis
Advanced Excel
Business Insights
Machine Learning"
Data Analyst,Paytm,1-3 Yrs,Not disclosed,Noida,Familiarity with basic statistical techniques for prediction and optimization Desired e...,"hive
Basic
customer analytics
E-commerce
Data Analyst
Analyst 1
big data
Analytics"
Data Analyst,RANG INFOSOFT PVT. LTD.,2-5 Yrs,Not disclosed,Bengaluru,Responsibilities: Developing predictive models in the area of marketing Understanding b...,"rest
python
oracle
Tools
Visa
Data mining
MATLAB
sql"
Data Analyst,DecisionTree Analytics and Services Private Limited,1-3 Yrs,Not disclosed,Gurgaon,Job Responsibilities: Work as a member of the project team on analytics projects. Well-...,"MS SQL
Postgresql
MySQL
Senior Data Analyst
PHP
Informatica
SSIS
Data warehousing"
Data Analyst,AEROFOLIC BUSINESS SOLUTIONS PRIVATE LIMITED,3-7 Yrs,Not disclosed,Coimbatore,Data Analyst Data Analyst Position title Python - Data Analyst Skills Competencies Stro...,"Computer science
Data analysis
Aerospace
Script writing
Analytical
Consulting
Machine learning
ITES"
Data Analyst,MJB Technology Solutions,4-9 Yrs,Not disclosed,Pune,Ensure delivery within given time frame while maintaining quality Contribute in dashboa...,"tableau
SAS
Data modeling
QlikView
data visualization
Oracle
Project delivery
Pentaho"
Data Analyst,MJB Technology Solutions,4-9 Yrs,Not disclosed,Pune,Ensure delivery within given time frame while maintaining quality Contribute in dashboa...,"tableau
SAS
Data modeling
QlikView
data visualization
Oracle
Project delivery
Pentaho"
Package Design Engineering Data Analyst,Micron Semiconductor Asia Pte Ltd,5-7 Yrs,Not disclosed,Hyderabad,"Share this Job Package Design Engineering Data Analyst Hyderabad, AP, IN Req. ID: 17438...","Fabrication
C++
Product engineering
Semiconductor
Linux
Failure analysis
Perl
Windows"
Data Analyst- ( H/ F ),Societe Generale Global Solution Centre Pvt Ltd,12-16 Yrs,Not disclosed,Chennai,"Minimum 4 years of experience in developing and deploying machine learning, deep learni...","Data Science
Predictive Modeling
R
NLP
NoSQL
Data Analysis
Data Visualization
Machine Learning"
Data Analyst (Banking Operations),Snaphunt,0-5 Yrs,Not disclosed,Bengaluru,Excellent opportunity for fresh graduatesGain experience with a leading global Financia...,"Data Science
Algorithms
Banking Operations
Artificial Intelligence
Data Analysis
Data Warehousing
Statistical Analysis
Statistics"
Lead Data Analyst,Analytics Vidhya Educon Pvt. Ltd,6-9 Yrs,Not disclosed,Bengaluru,Job Description Opening for Lead Data Analyst with 6-9 years of experience. Graduates w...,"SAS
Diagnostics
Machine learning
HTML
SPSS
Data mining
Operations
Analytics"
Lead Data Analyst,Analytics Vidhya Educon Pvt. Ltd,6-9 Yrs,Not disclosed,Bengaluru,Job Description Opening for Lead Data Analyst with 6-9 years of experience. Graduates w...,"SAS
Diagnostics
Machine learning
HTML
SPSS
Data mining
Operations
Analytics"
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,5-10 Yrs,Not disclosed,Delhi,Job Description and Responsibilities: Programming and analytical skills in a major anal...,"Supply chain management
data science
Analytical
HTML
Troubleshooting
Powerpoint
Analytics
Reporting tools"
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,2-7 Yrs,Not disclosed,Bengaluru,Job Description and Responsibilities Dive deep into data and emerge with actionable nug...,"Statistical modeling
SAS
Neural networks
HTML
Data Analyst
Mathematics
SPSS
Data mining"
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,6-11 Yrs,Not disclosed,Bengaluru,Job Description and Responsibilities Provide reporting and performance monitoring to ga...,"Unix
data science
SAS
PHP
HTML
Unix shell scripting
Analytics
SQL"
Data Analyst - Python/ R,Mercados,2-3 Yrs,Not disclosed,Delhi NCR,Job title : Data Analyst Reports to: L1: Manager (IT). L2: Head (IT) Duties and Respons...,"R
VBA
Statistical Modeling
Data Analyst
Algorithm
Python
SQL"
Data Analyst,Spice Money,3-6 Yrs,Not disclosed,Mohali,Data Analyst (Location: Mohali) o Qualification required: B.Tech / MCA o Experience req...,"tableau
Machine learning
Data Analyst
HR
Python"
Senior Analyst - Data Science - IIT/ NIT/ IIM/ Xlri/ FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon,"Must have strong capabilities in problem solving, managing own work diligently, thoroug...","Data Science
SAS
Tableau
Machine Learning
Statistics
Analytics
Python
SQL"
Data Analyst,DemandMatrix,2-5 Yrs,Not disclosed,Pune(Pune Nashik Highway),Must have Strong analytical and critical thinking to resolve business problems using da...,"python
data analysis
Open Source
Product Analysis
machine learning
artificial intelligence
sql
jupyter"
Data Analyst,Shark Dreams,2-5 Yrs,Not disclosed,Hyderabad,Roles and Responsibilities We are looking for a Data Analyst for our Software Developme...,"PostgreSQL
Node
Data Analyst
Looker
Statistics
Angular
SQL
Metabase"
Data Analyst-sql/python (iit/nit/bits),AVE-Promagne,3-5 Yrs,Not disclosed,Bengaluru,Roles And Responsibilities* Perform business analysis using various techniques such as ...,"predective analytics
python
data analysis
mysql
statistics
sql"
Data Analyst,Quadrangle Search,7-11 Yrs,Not disclosed,Hyderabad,Work experience as a data analyst or in related fieldDemonstrated experience in handlin...,"Warehouse
python
macros
Relational Databases
Data Analysis
Supply Chain"
Junior Data Analyst,Weatherbug,1-4 Yrs,Not disclosed,Gurgaon,"Role: Junior Data Analyst Location: Gurgaon, India This will be an exciting and challen...","Computer science
Career development
Linux
Spanish
Growth strategy
Analytics
Junior Data Analyst
SQL"
Senior Data Quality Analyst,Quicken Software Development Pvt Ltd,8-12 Yrs,Not disclosed,Bengaluru,Job Summary: We are looking to add a Senior Data Quality Analyst to our Data Platform t...,"Product management
Computer science
Automation
Data analysis
Healthcare
Scrum
Open source
JIRA"
DATA ANALYST,Ressex,0-5 Yrs,Not disclosed,Mumbai,Experience Required : 0 to 5 years Basic Qualifications : M. Sc (Statistics)/ MBA/ B. E...,"Strong analytical skills
Process improvement
Report writing
Data collection
Data Analyst
data visualization
MSC
Statistics"
Data Analyst - Python/ Tableau,MJB technologies LLP,4-8 Yrs,Not disclosed,Pune,ROLES AND RESPONSIBILITIES : - Ensure delivery within given time frame while maintainin...,"REST API
IT Project Delivery
DBA
VBA
Data Visualization
Data Analyst
Tableau
Data Modeling"
Data Analyst,Decision Point Analytics,0-2 Yrs,Not disclosed,Gurgaon,Roles and Responsibilities: The Person will work as an Analyst in data services team of...,"Analytical skills
Analyst
MS SQL
data services
Excel
MySQL
Database administration
Data Analyst"
Data Analyst,Kwalee,2-5 Yrs,Not disclosed,Bengaluru,"As a Data Analyst you have a passion for data, statistics and mobile games so this job ...","Data analysis
Excel
Agile
M&A
Silicon
Data Analyst
Gaming
Statistics"
Walk-in Hiring Data Analyst -(0 To 1 Year),FUTURISM TECHNOLOGIES PVT LTD,0-1 Yrs,Not disclosed,Pune,"Shift Time :- 0 to 1 Year ( Fresher can also apply )Any Graduate ( 2017, 18 and 19 Pass...","Excel
Word
Typing
Spreadsheets
Data Analysis
Data Analyst
Data Entry
Sorting"
Data Analyst,ANR Software Pvt. Ltd.,2-5 Yrs,Not disclosed,Noida,"Job Description:Interpret data , analyse results using statistical techniques and provi...","Computer science
SAS
Process improvement
Report writing
Data collection
SPSS
Information management
Manager Quality Control"
Data Analyst,Analytics Vidhya Educon Pvt. Ltd,4-9 Yrs,Not disclosed,Bengaluru,More than 4 years of experience in the field of data sciences Hands on experience in An...,"data science
E-commerce
HTML
Perl
Predictive modeling
big data
Ruby
Analytics"
Data Analyst,Aurionpro Solutions Ltd.,3-8 Yrs,"6,50,000 - 7,00,000 PA.",Delhi,tech / BE with MBA or MA / MSc in Statistics / Mathematics/Operation ResearchShould be ...,"Data Analysis
Tableau
Python
Predictive Modeling
Communication Skills
Macros
Analytics"
Data Analyst - Amazon Market Web Service,F5websolutions,3-5 Yrs,"2,25,000 - 2,75,000 PA.",Pune(Camp),At f5websolutions we are looking to hire a full time data analyst with experience of 4 ...,"Amazon MWS
Data Analyst
Python"
Data Analyst,Thoucentric,3-7 Yrs,Not disclosed,Hyderabad,Data Analyst Job Description : Provide sustaining support for ex i sting dashboards and...,"Automation
Ticketing
Database design
Data quality
Analytics
SQL
Python
Auditing"
Data Analyst,Mindworksglobal,1-2 Yrs,Not disclosed,Delhi,Key Responsibilities Explore and analyze large datasets Help build models using NLP and...,"Analytical skills
Training
Usage
Statistical analysis
data science
Machine learning
Natural language processing
Data Analyst"
Data Analyst,Right Step Consulting,0-5 Yrs,Not disclosed,"Delhi, Gurgaon",Brief Role : Data Analyst Job Description POSITION : Data Analyst REPORTS TO : Project ...,"Product management
ERP
Data analysis
PHP
Data Analyst
Open source
Data mining
SQL"
Data Analyst,MOFIRST SOLUTIONS PVT. LTD.,2-4 Yrs,Not disclosed,Mumbai,Data Analyst Indus OSs team has developed the Worlds First Regional Operating System. W...,"Automation
Data analysis
MySQL
Data Analyst
HTTP
Windows
MS Office
Analytics"
Data Analyst,Angel Broking Limited,6-11 Yrs,"15,00,000 - 18,00,000 PA.",Mumbai,"Bachelor s degree in Engineering, Statistics, Mathematics or similar quantitative disci...","Tableau
SQL
Python
Hive
SCALA
Data Analysis
Spark
Analytics"
Research Analyst / Data Analyst,IFIM Business School,1-2 Yrs,Not disclosed,Bengaluru,Job Requirements: Looking for a Research/Data Analyst who can work with large volumes o...,"Computer science
Academic Research
Excel
Programming
Data Analyst
Mathematics
Research Analyst
Statistics"
Data Analyst,Criteo,2-4 Yrs,Not disclosed,Gurgaon,"Develop a deep knowledge of Criteo s technology, products, and position in the marketpl...","Analytical
Data Analyst
Digital marketing
Business solutions
Troubleshooting
Operations
Analytics
Recruitment"
Data Analyst,Shark Dreams,2-5 Yrs,Not disclosed,Hyderabad,"We are looking for a Data Analyst for our Software Development Centre at Gachibowli, Hy...","Metabase
R
PowerBI
PostgreSQL
Node
Snowflake
Data Analyst
Looker"
Urgent Opening_ Data Analyst _ Location Bangalore,Orcapod Consulting Services Private Limited,2-5 Yrs,Not disclosed,Bengaluru,"Skills Required : ETL, Data ingestion, Automation skills, Python, Alteryx, AirflowDesir...","Airflow
Alteryx
Data Analysis
ETL
Python"
Urgent Opening_ Digital Data Analyst _ Location Bangalore,Orcapod Consulting Services Private Limited,2-5 Yrs,Not disclosed,Bengaluru,"Skills Required :Good Python skills, Big Query skills, Experience in Cloud data warehou...","big query
data warehouse
Data Analysis
MongoDB
Python"
DATA SCIENCE Analyst,Vchip-edu,5-10 Yrs,Not disclosed,Pune,"Qualification:Qualification BE/B.Tech(CS, IT, EXTC) Industry Type:Education Functional ...","Tutor
Data analysis
data science
Manager Technology
Entrepreneur
SQL
Python"
Data Analyst,Blockcube,4-6 Yrs,Not disclosed,india,"Participated in data warehouse life cycle including requirement analysis, modeling and ...","Business Intelligence
Java
SAS
Hadoop
Data Analysis
Data Mining
Data Extraction
Business Insights"
Data Analyst (Retail Domain),Augmance AI Labs Private Limited,1-5 Yrs,Not disclosed,Bengaluru,"Bachelors degree in Computer Science, Engineering, Operations Research, Math, or relate...","R
Excel
Business Analytics
Data Analysis
variance analysis
Tableau
Data Modeling
Reporting"
Spend and Master Data Analyst,Pcura Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Mumbai,Spend and Master Data Analyst Candidates having a combined experience of atleast 2 year...,"assembly language
website
C
HTML
ajax
javascript
jquery
SQL"
Junior Data Analyst,Indium Software (India) Limited,2-5 Yrs,Not disclosed,Chennai,Profile : Bachelors or Masters Degree in Computer Science or any relevant field Passion...,"Computer science
Database
QlikView
Individual Contributor
Business understanding
SQL
Python
Data extraction"
Data Analyst,Mindworks Global Media Services,1-5 Yrs,Not disclosed,Delhi,Key Responsibilities Explore and analyze large datasets Help build models using NLP and...,"Training
data science
Machine learning
HTML
Natural language processing
Data Analyst
Internship
SQL"
Data Analyst,Lido Learning,2-3 Yrs,Not disclosed,Mumbai,We are looking for a data analyst to help us make better business decisions using infor...,"Postgresql
Machine learning
linear regression
power bi
Data Analyst
data visualization
Analytics
SQL"
Data Analyst,In Diverse Company,2-5 Yrs,Not disclosed,Mumbai,Working directly for the Head of Engineering and Analytics this role will include resea...,"Statistical programming
Data analysis
Networking
Analytical
Social media
Programming
Data Analyst
Recruitment"
JUNIOR BIG DATA ANALYST IN,Saffron Consultancy Services(scs),1-3 Yrs,Not disclosed,Bengaluru,"JD & SKILLS Identify , analyze , and interpret trends or patterns in data. Identify new...","Google Analytics
Web analytics
Quantitative research
MySQL
Data collection
Data quality
Oracle
Digital marketing"
Data Analyst/MIS,Lakshmi North East Solutions,1-3 Yrs,Not disclosed,Guwahati,Data AnalystMIS Jobs in Guwahati - Vacancy in Front Office Executive Assistant Data Ent...,"Process design
Front Office Executive
MIS
Linguistics
Market research
Commerce
Data Analyst
Customer service"
Data Analyst R SAS,DEFTeam Solutions Private Limited,3-6 Yrs,Not disclosed,Hyderabad,Develop descriptive and predictive models to solve business problems depending on the b...,"Data analysis
SAS
Linux
Analytical
Machine learning
Engineering Manager
Windows
Data mining"
Data Analyst Analyzing,Cistup Indian Institute of Science,2-5 Yrs,Not disclosed,Bengaluru,Data Analyst Position for Analyzing Public Transportation Systems Data The Centre for i...,"Urban planning
Infrastructure
Data Analyst"
Data Analyst,Daffodil HR Services,5-8 Yrs,Not disclosed,Mumbai,Job Description : JOB PURPOSE: Analyse large volume of raw data Perform data cleansinga...,"Computer science
data cleansing
Business Head
MIS
Pharma
Finance
Data collection
Clinical research"
Urgent Requirement For Data Analyst For Figmd US IT Healthcare Pune,FIGMD (India) Private Limited,3-5 Yrs,Not disclosed,Pune,Should possess good interpersonal and communication skillsMust have: Hands-on experienc...,"Process Enhancement
HIPAA
Data Analysis
Data Mining
Healthcare
Project Delivery
Clinical Documentation
Operations"
Data Analysts,Atulya Group,2-5 Yrs,Not disclosed,Mumbai,Strong business analytical skills a must; ability to business logic to design and imple...,"Computer science
Visual Basic
Excel
MS Access
MySQL
Classic ASP
HTML
Data mining"
