role,company,exp,salary,location,desc,req
"analyst, global transportation operation",MOLEX (INDIA) PRIVATE LIMITED,1-4 Yrs,Not disclosed,Bengaluru,Job Description 1. Develop transportation cost reporting and analytics for the better v...,"Analyst
Data analysis
Automation
Data management
Microsoft applications
Data quality
RFQ
Continuous improvement"
opening for business analyst- noida,Velocity Software Solutions Pvt. Ltd.,0-1 Yrs,"2,50,000 - 3,00,000 PA.",Noida,"Should be reasonably proficient in browsing the web, e-commerce, social networking, & m...","IT Skills
Project Management
BPO
project management
Business Analyst
Data Management
Data Analysis
analyst"
data analyst - supply chain,Peoplefy Infosolutions Pvt. Ltd.,2-5 Yrs,Not disclosed,Mumbai(Powai),Should be flexible for shift timingShould have hands-on experience on advance excelShou...,"SCM Analyst
Supply Chain Analytics
Data Analysis
Data Analytics"
business analyst,Diverse Lynx India Pvt. Ltd,1-5 Yrs,Not disclosed,Gurgaon,- 1. Good understanding of Enterprise Data Management and data quality concepts would b...,"Data analysis
Data management
Business Analyst
Financial Instruments
Focus
Manager Technology
Data quality
Business intelligence"
analyst - data maintenance-pdm - protocol data management,Accenture Solutions Pvt Ltd,5-8 Yrs,Not disclosed,Hyderabad,Please note that this role may require you to work in rotational shiftsYou will have to...,"Protocol Data Management
Design Development
Data Management
Clinical Database
PDM
Data Maintenance"
business analyst,Foursis Technical Solution,1-3 Yrs,Not disclosed,Rajkot,"Experience : 1 - 3 years Skills : ANALYSIS SYSTEM, Business Management, Business Analys...","Data analysis
Data management
Business Analyst
Business analysis
Business Data Analyst
Business management"
zonal business analyst,Daffodil HR Services,8-12 Yrs,Not disclosed,Chennai,Job Description : To provide timely and accurate inputs to Zonal Head for taking busine...,"Mining
Zonal Head
Data analysis
Business Analyst
Sales analysis
Market intelligence
Trend analysis
Data analytics"
business analyst - insurance/ manufacturing division,3D India Staffing Research Consulting Pvt Ltd,5-10 Yrs,Not disclosed,Chennai,Business Analyst - Insurance/Manufacturing Division (3-10 yrs)Exp. 1.0 - 10.0 Year(s)Qu...,"data analysis
consulting
business analysis
Business Analys
market research
business planning
customer research
Analytics"
"business analyst, edi agile",MDI Networx,1-3 Yrs,Not disclosed,Pune,"5+ years of experience required Ability to develop scenarios on data analysis, data map...","Data analysis
Data management
Agile
X12
EDI
data mapping
System development
US healthcare"
business analyst - internet/online - iit/nit/bits,The Hiring Story,1-4 Yrs,Not disclosed,Mumbai,"Strong knowledge in SQL and manipulating large data sets in a database, Advanced Excel ...","IT Business Analyst
Statistics Modelling
Data Analysis
Data Analytics
SQL"
business analyst - nit/iit candidates only,Macrohire LLP,0-5 Yrs,"3,00,000 - 5,00,000 PA.",Hyderabad,Note: Looking the candidates from NIT & IIT only Bachelors degree in Business Manageme...,"Excel
Sales
Data Management
Primary
Data Analysis
MIS Generation
Data Collection
Dashboards"
business analyst,Seven Consultancy,3-6 Yrs,Not disclosed,Mumbai,Jobs Details 1 Develop analytical models to assess the impact of changes to pricing and...,"Data analysis
Data management
Technical writing
Business analysis
Project management
Analytical
Strategic planning
Project planning"
sr. business analyst | teksystems,Allegis Services India Pvt. Ltd.,8-13 Yrs,Not disclosed,Bengaluru(Marathahalli),"Data Analysis- Must have prior experience working as a Data Analyst, and be able to per...","CRO
Business Analyst
User Stories
Documentation
acceptance criteria
Data Mining
Clinical Trials
data analyst"
sr. business analyst 4,Teamware Solutions,5-10 Yrs,Not disclosed,Pune,"Analyse the existing inventories (data, process, controls, governance and reporting) an...","Data analysis
Data migration
PDF
Business Analyst
Business analysis
Master data management
Agile methodology
Outsourcing"
"business analyst  ,",Salesken.ai,2-5 Yrs,"6,00,000 - 8,00,000 PA.",Bengaluru(Indira Nagar),"Requirement Gathering from clientsWell versed with Data Analysis tools - MS Excel, SQL,...","Communication Skills
Excel
Custom Reports
Requirement Gathering
Data Analysis
Calling
Tableau
Data Analytics"
business analyst,Greenlight Planet,5-10 Yrs,Not disclosed,Mumbai,"Business Analyst - Greenlight Planet Location: Mumbai, Maharashtra, India Job Location ...","Data analysis
SAS
Data management
Business analysis
Trend analysis
SPSS
Business intelligence
Churn"
"business analyst, business analysis",Times Global Broadcasting Company Ltd.,2-3 Yrs,Not disclosed,Gurgaon,Data Analyst Areas of Responsibility You will be responsible to analyse and breakdown t...,"data cleansing
Root cause analysis
Business Analyst
Business analysis
Business Data Analyst
VLOOKUP
Strategic planning
Data analytics"
business analyst - gurgaon,undefined,3-5 Yrs,Not disclosed,Gurgaon,"Bachelors Degree Required Skills: Data Analytics, Sales, Distribution","Business Intelligence
Sales Support
Data Analysis
Data Analytics
Business Analysis"
business intelligence analyst,Cimpress India Private Limited,4-7 Yrs,Not disclosed,Bengaluru(Hebbal),Must have self-learning attitude and ability to grasp new technologiesKnowledge of typi...,"Business Intelligence
Google Analytics
Data Analysis
Google AdWords
Web Analytics
API
Dashboards
Data Modeling"
risk analyst / business analyst,Analytics Vidhya Educon Pvt. Ltd,3-4 Yrs,Not disclosed,Delhi,"Description Responsibilities •Development, implementation and calibration of Scorecards...","Data analysis
data science
Risk analytics
HTML
Data analytics
Credit risk
Forecasting
Analytics"
"principal analyst, database operations",Novartis Healthcare Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad,"Your responsibilities include, but are not limited to: Drive the implementation of data...","Biometrics
CRO
Operations Manager
GCP
Database design
Analytical
Principal Analyst
Clinical trials"
"principal analyst, database operations",Novartis Healthcare Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad,"Your responsibilities include, but are not limited to: Strong knowledge in one or more ...","CRO
Operations Manager
Nursing
Oracle clinical
Data management
Analytical
Pharmacy
Principal Analyst"
sr. data analyst & business intelligence,Analytics Vidhya Educon Pvt. Ltd,4-9 Yrs,Not disclosed,"Pune, Mumbai","Job description: Responsibilities Perform data mining, data cleansing and validation, a...","Data management
SAS
Db2
MySQL
Data Analyst
HTML
Business intelligence
Oracle"
sr. analyst-data analytics,Repucom,2-5 Yrs,Not disclosed,Vadodara,"ABOUT THIS JOB We won?t say we can predict the future, but our team of Analysts get pre...","Analyst
Statistical modeling
SAS
Time management
Market research
Actuarial
Data analytics
Quality analysis"
sr. analyst - data analytics,Repucom,2-5 Yrs,Not disclosed,Bengaluru,RESPONSIBILITIES Provide delivery and solution capability as a part of our consultant t...,"Analyst
Statistical modeling
Quality standards
Executive
Business analytics
Market research
Actuarial
SPSS"
analyst-data analytics,The Nielsen Company,0-2 Yrs,Not disclosed,Vadodara,RESPONSIBILITIES Deliver as one part of our media projects team in driving high-quality...,"Statistical modeling
SAS
Time management
Market research
M&A
Actuarial
Data analytics
Management"
business analyst - data analytics bfsi,Analytics Vidhya Educon Pvt. Ltd,5-10 Yrs,Not disclosed,Gurgaon,Job Description and Responsibilities 2 - 5 years of total experience of Data Analytics ...,"Excel
SAS
Business Analyst
Bfsi
Analytical
Credit card banking
HTML
Data analytics"
sr. analyst-data analytics,Smart Cube India Private Limited,3-6 Yrs,Not disclosed,India,Job description Act as a lead analyst on various data analytics projects aiding strateg...,"SAS
Data management
MS Access
Project management
Consulting
VB
Oracle
Financial services"
immediate opening - data scientist for a leading company at chennai,Inesh Management Consultancy,2-5 Yrs,Not disclosed,Chennai,"Experience: 2-5yrs from ""Analytics company"" Experience in data extraction, analysis, an...","Data Analysis
Analytics"
sr. data/business intelligence analyst - artificial intelligence,Intello Labs Private Limited,3-5 Yrs,Not disclosed,Gurgaon,Senior Data/Business Intelligence Analyst - Artificial Intelligence /Machine LearningJo...,"Data Science
Business Intelligence
R
NoSQL
Business Analyst
Artificial Intelligence
Data Analyst
Machine Learning"
"business analyst, business analysis",Times Global Broadcasting Company Ltd.,2-3 Yrs,Not disclosed,Gurgaon,Data Analyst Areas of Responsibility You will be responsible to analyse and breakdown t...,"data cleansing
Root cause analysis
Business Analyst
Business analysis
Business Data Analyst
VLOOKUP
Strategic planning
Data analytics"
business analyst - gurgaon,undefined,3-5 Yrs,Not disclosed,Gurgaon,"Bachelors Degree Required Skills: Data Analytics, Sales, Distribution","Business Intelligence
Sales Support
Data Analysis
Data Analytics
Business Analysis"
business intelligence analyst,Cimpress India Private Limited,4-7 Yrs,Not disclosed,Bengaluru(Hebbal),Must have self-learning attitude and ability to grasp new technologiesKnowledge of typi...,"Business Intelligence
Google Analytics
Data Analysis
Google AdWords
Web Analytics
API
Dashboards
Data Modeling"
risk analyst / business analyst,Analytics Vidhya Educon Pvt. Ltd,3-4 Yrs,Not disclosed,Delhi,"Description Responsibilities •Development, implementation and calibration of Scorecards...","Data analysis
data science
Risk analytics
HTML
Data analytics
Credit risk
Forecasting
Analytics"
"principal analyst, database operations",Novartis Healthcare Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad,"Your responsibilities include, but are not limited to: Drive the implementation of data...","Biometrics
CRO
Operations Manager
GCP
Database design
Analytical
Principal Analyst
Clinical trials"
"principal analyst, database operations",Novartis Healthcare Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad,"Your responsibilities include, but are not limited to: Strong knowledge in one or more ...","CRO
Operations Manager
Nursing
Oracle clinical
Data management
Analytical
Pharmacy
Principal Analyst"
sr. data analyst & business intelligence,Analytics Vidhya Educon Pvt. Ltd,4-9 Yrs,Not disclosed,"Pune, Mumbai","Job description: Responsibilities Perform data mining, data cleansing and validation, a...","Data management
SAS
Db2
MySQL
Data Analyst
HTML
Business intelligence
Oracle"
sr. analyst-data analytics,Repucom,2-5 Yrs,Not disclosed,Vadodara,"ABOUT THIS JOB We won?t say we can predict the future, but our team of Analysts get pre...","Analyst
Statistical modeling
SAS
Time management
Market research
Actuarial
Data analytics
Quality analysis"
sr. analyst - data analytics,Repucom,2-5 Yrs,Not disclosed,Bengaluru,RESPONSIBILITIES Provide delivery and solution capability as a part of our consultant t...,"Analyst
Statistical modeling
Quality standards
Executive
Business analytics
Market research
Actuarial
SPSS"
sr. analyst-data analytics,The Nielsen Company,2-5 Yrs,Not disclosed,Vadodara,RESPONSIBILITIES Deliver as one part of our media projects team in driving high-quality...,"Statistical modeling
SAS
Time management
Market research
M&A
Actuarial
Data analytics
Management"
business analyst - data analytics bfsi,Analytics Vidhya Educon Pvt. Ltd,5-10 Yrs,Not disclosed,Gurgaon,Job Description and Responsibilities 2 - 5 years of total experience of Data Analytics ...,"Excel
SAS
Business Analyst
Bfsi
Analytical
Credit card banking
HTML
Data analytics"
sr. analyst-data analytics,Smart Cube India Private Limited,3-6 Yrs,Not disclosed,India,Job description Act as a lead analyst on various data analytics projects aiding strateg...,"SAS
Data management
MS Access
Project management
Consulting
VB
Oracle
Financial services"
data scientist,MyITBridge,3-6 Yrs,"10,00,000 - 20,00,000 PA.","Trivandrum, Kochi","Product devpelopment exposure with credit risk modeling or financial data, Should be an...","Tensorflow
data
Artificial Intelligence
AI
Big Data
Machine Learning
Statistics
Data Science"
immediate opening - data scientist for a leading company at chennai,Inesh Management Consultancy,2-5 Yrs,Not disclosed,Chennai,"Experience: 2-5yrs from ""Analytics company"" Experience in data extraction, analysis, an...","Data Analysis
Analytics"
sr. data/business intelligence analyst - artificial intelligence,Intello Labs Private Limited,3-5 Yrs,Not disclosed,Gurgaon,Senior Data/Business Intelligence Analyst - Artificial Intelligence /Machine LearningJo...,"Data Science
Business Intelligence
R
NoSQL
Business Analyst
Artificial Intelligence
Data Analyst
Machine Learning"
business insights analyst,Chegg India Pvt Ltd,1-5 Yrs,Not disclosed,Delhi,"We are looking for a highly motivated, detail-oriented self-starter Business Insights A...","Data analysis
Postgresql
MySQL
HTTP
Oracle
Teradata
Business intelligence
Data mining"
business analyst,Grazitti Interactive,3-7 Yrs,Not disclosed,Chandigarh,"Job Description As a Business Analyst (BI), you will be responsible for conducting busi...","IT Skills
Tableau
IT services
Data analysis
Social media
VLOOKUP
Informatica
SSIS"
business analyst,Uniphore,3-4 Yrs,Not disclosed,Bengaluru,CAREER EXPERIENCE & COMPETENCIES Years of Experience 3 years Bachelors or master s degr...,"IT Skills
Tableau
Computer science
Data analysis
Automation
Bfsi
Business analytics
Healthcare"
business analyst,ihackers,0-3 Yrs,Not disclosed,Delhi,Responsibilites A business analyst is someone who analyses an organization or business ...,"Computer science
data cleansing
Data analysis
metadata
Business Analyst
Flex
Data collection
data integrity"
business analyst,AARDE TECHNOSOFT PRIVATE LIMITED,2-4 Yrs,Not disclosed,Gurgaon,"Advanced knowledge of modeling tools such as R, Python (preferred) Experience in Data M...","Business Analysis
Business Analytics
Problem Solving
business analyst
powerbi
Marketing
sql
tableau"
business analyst - adm,IBM India Pvt. Limited,6-10 Yrs,Not disclosed,Chennai,IntroductionAre you looking for a career that will allow you to use your unique blend o...,"Cftc
Regulatory Reporting
Financial Services
Finance
Data Analysis
Business Process Re-engineering
Mifid
Derivatives"
business business analyst - s&p - l3,Ness Technologies,8-12 Yrs,Not disclosed,Hyderabad,"Desired Skills Experience as a business analyst, project manager, systems analyst or si...","Analytical skills
Data analysis
Business Analyst
Agile scrum
Application programming
Social networking
Manager Technology
Financial services"
business analyst insight,EGS Contact Center Solutions Private Limited,2-4 Yrs,"2,00,000 - 5,50,000 PA.","Gandhinagar, Ahmedabad",Role Overview:The role is to use customers segmentation to identify the clustering of t...,"analytics
ms excel
R
data analysis
sas
data mining
spss
statistical analysis"
business analyst,"People First Consultants Pvt Ltd.,",5-7 Yrs,Not disclosed,Chennai,HiOne of our client a start up firm in Chennai has the following job opportunityPositio...,"IT Skills
Software Development
Testing
Oracle
Change Management
Business Planning
Software Development
Oracle SQL"
data analyst - sas/r/python,Huquo Consulting Pvt. Ltd,4-9 Yrs,Not disclosed,Gurgaon,#NAME?,"Consulting - BFSI
SAS
Data Management
Data Analytics
Statistics
Machine Learning
Analytics
Python"
data analyst role - internet/ecommerce - iim / iit/ bits/ fms,The Hiring Story,0-2 Yrs,Not disclosed,Mumbai,Requirements:- - Bachelors degree in Engineering or Master degree in Mathematics/ stati...,"Data Management
Data Visualization
Data Analytics
Statistics
Machine Learning
Analytics
SQL
Python"
data analyst role - iim/iit/bits/fms,The Hiring Story,0-2 Yrs,Not disclosed,Mumbai,Bachelors degree in Engineering or Master degree in Mathematics / statistics An analyst...,"Data Management
Data Visualization
Data Analytics
Statistics
Machine Learning
Analytics
SQL
Python"
sr. manager - data scientist - iit/nit/bits,Huquo Consulting Pvt. Ltd,8-12 Yrs,Not disclosed,"Delhi NCR, Gurgaon",Job Description We are looking for a Data Scientist that will help us discover the info...,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
business intelligence analyst,DelveInsight Business Research LLP,3-8 Yrs,Not disclosed,Delhi NCR(Pocket-2 Sector 6 Dwarka +1),"ResponsibilitiesUnderstand, monitor and enhance ETL's to accurately measure existing KP...","Business Intelligence
Google Analytics
mis analyst
Google Tag Manager
Data Analyst
Tableau
Adobe Analytics
SQL"
data scientist - analytics - bfs,Huquo Consulting Pvt. Ltd,1-6 Yrs,Not disclosed,Mumbai,Candidate should have excellent communication skills to interact with senior clients Sh...,"Data Science
Predictive Modeling
Consulting - BFSI
Data Scientist
Data Management
Data Modeling
Data Analytics
Analytics"
urgent requirement of data analyst for bangalore location.,Lumbini Elite Solutions Services Pvt Ltd,4-8 Yrs,Not disclosed,Bengaluru,"Looking for Data Analyst For Bangalore location. Exp. in tableau, machine learning, bus...","business intelligence tools
tableau
python
java
kafka
hadoop
AWS Cloud
machine learning"
data analyst - work location - bangalore,SOLUNUS TECHNOLOGIES PRIVATE LIMITED,2-7 Yrs,"5,00,000 - 15,00,000 PA.","Mumbai, Bengaluru, Hyderabad",Build an anomaly detection tool that used algorithms such as Isolation Forest and Movin...,"Factspan
MS Excel
forecasting
Text Analysis
Regression
Clustering
Moving Average
Isolation Forest"
analyst - data analytics - p&c insurance,Huquo Consulting Pvt. Ltd,2-6 Yrs,Not disclosed,Gurgaon,Knowledge of general insurance domain and P&C actuarial concepts is a must Experience i...,"Consulting - BFSI
SAS
Data Management
Data Analytics
Statistics
Analytics
Python
SQL"
junior data architect/data analyst,Huquo Consulting Pvt. Ltd,4-7 Yrs,Not disclosed,Bengaluru,Provides data understanding and coordinate data related activities with other data mana...,"Data Architect
Data Management
Data Modeling
Data Analytics
Data Governance
Analytics
SQL"
data analyst - sas/ r/ python - kpo,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,Gurgaon,"Good team management, project management and communication (both written and verbal) sk...","Consulting - BFSI
SAS
Data Management
Data Analytics
Statistics
Machine Learning
Analytics
Python"
looking for a data analyst for pune location,A Product Based Company,5-8 Yrs,"8,00,000 - 18,00,000 PA.",Pune,Looking for Data Analyst who can join within 30 days and experience in Skills: Language...,"Data Analyst
Elastic Search
Python
Unix
Azure
Shell
Linux
GCP"
data analyst - sas/r/python,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,Gurgaon,"Other Desired Qualities : - Good team management, project management and communication ...","Consulting - BFSI
SAS
Data Management
Data Analytics
Statistics
Machine Learning
Analytics
Python"
analyst - data science,Huquo Consulting Pvt. Ltd,1-5 Yrs,Not disclosed,Gurgaon,Should have hands-on experience in using various statistical and machine learning techn...,"Data Science
SAS
Data Management
Statistical Modeling
Tableau
Data Analytics
Machine Learning
Statistics"
sr. business analyst,Crimson Interactive Pvt. Ltd.,3-7 Yrs,Not disclosed,Mumbai,Shift timings: 10 am to 7 pmGraduate / Post-graduation from reputed institutesSkills Re...,"Data Integrity
Business Analytics
Qlik Sense
Business Rules
Data Management
Data Analytics
Business Analysis"
data scientist,Seven Consultancy,3-5 Yrs,Not disclosed,Hyderabad,JOB DETAILS 1) Analytical Model Development To develop end to end web based predictive ...,"Computer science
advanced analytics
Data management
Renewable energy
data science
big data analytics
Analytical
Workflow"
data analyst,Hiresome,1-3 Yrs,Not disclosed,Mumbai,"Skills: SQL, Excel. # 1+ years of experience in data analytics, or BA/BS in Statistics,...","Economics
Excel
Computer Science
Data Analysis
Advanced Excel
Mathematics
SQL Server
Excel Sheet"
data analyst,Samrin Services LLP,2-7 Yrs,"2,00,000 - 4,25,000 PA.",Ahmedabad,Data Analytics Professional Good knowledge of MIS generation Strong in Analytical knowl...,"External Reporting
Data Analysis
Dashboards
MIS Reporting
Analytics"
data analyst,X Byte Technolabs Pvt. Ltd.,1-3 Yrs,Not disclosed,Ahmedabad,•Raising data quality and performance levels •Providing a high level of data quality aw...,"Data Processing
Data Entry"
data analyst,X Byte Technolabs Pvt. Ltd.,1-3 Yrs,Not disclosed,"Vapi, Bharuch, Gandhinagar, Vadodara, Ahmedabad(Anand Nagar +1), Rajkot, Valsad, Surat, Mehsana",• Raising data quality and performance levels • Providing a high level of data quality ...,"Excel
VLOOKUP
Data Analysis
Data QA
Data Processing
Data Entry"
urgent vacancy for data analyst,Mincap,3-5 Yrs,"3,00,000 - 5,00,000 PA.",Kochi,- Minimum 3 to 5 yrs working experience as a Data Analyst. - Technical expertise regard...,"Business Intelligence
Data Analysis
Data Mining
Data Analyst
Database Development
Predictive Analytics
Business Analysis"
data analyst,Light Microfinance Pvt. Ltd.,2-6 Yrs,Not disclosed,Ahmedabad(Prahlad Nagar),"Knowledge of API, Query in Database Report, Excel, API Tools, FTP, Data Integration, Ba...","Excel
Data Analysis
SQL
Data Integration"
ms sql dev. & data analyst,Shaster Technologies Pvt. Ltd.,12-20 Yrs,"12,00,000 - 22,00,000 PA.",Hyderabad,MS SQL Developer & DATA ANALYST with 10+ years of strong analytical working experience ...,"Ms Sql Developer
Senior Database Analyst
t - sql
Data Analysis
Data Analyst
Database Analyst
TSQL"
business analyst - ceo's office,Angel Broking Limited,5-9 Yrs,"14,00,000 - 24,00,000 PA.",Mumbai,Education Background -IIM / IIT,"Executive Assistant
business process modeling
project management
data analysis
business
relationship management
finance modelling
business analytics"
business analyst/ pmo,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Not disclosed,Mumbai,About Algo360: Algo360 is analytics based alternate data product for financial institut...,"PMO
Execution
Project Management
Requirement Gathering
Product Analysis
Data Analysis
Project Planning
Analytics"
excellent opportunity for data analyst in mumbai,TALENT CART CONSULTANTS,5-10 Yrs,Not disclosed,Mumbai,#NAME?,"data compliance
data science
Fraud Analyst
statistical analysis
sql"
mis executive,Miracle Coro Plast Pvt. Ltd.,1-5 Yrs,"1,50,000 - more than 3,00,000 PA.",Jaipur,"Downloading Data from Systems and mapping the same as per the requirement, coordinating...","Management Reporting
ms excel
mis executive
mis
Data Management
Data Analysis
Data Collection
ms word"
data scientist - image recognition/machine learning,CarbyneTech India,5-10 Yrs,Not disclosed,Hyderabad,Proficient programming skills in a high-level language (e.g Deep experience with text-w...,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
data scientist - image recognition/machine learning,CarbyneTech India,5-10 Yrs,Not disclosed,Hyderabad,Proficient programming skills in a high-level language (e.g Deep experience with text-w...,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
data scientist - image recognition/ machine learning,CarbyneTech India,5-10 Yrs,Not disclosed,Hyderabad,Proficient programming skills in a high-level language (e.g Deep experience with text-w...,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
data analyst | mis executive | operations executive,Sanctus HR,1-4 Yrs,Not disclosed,Bengaluru,Immediate Openings for Data Analytics / MIS Executive/ Operations Exe. Should be able t...,"excel sheet
new projects
operations management
mis preparation
data analysis
data analytics
mis reporting
formulas"
sr. data analyst urgent requirement,Win Solutions,3-5 Yrs,"4,00,000 - 8,00,000 PA.",Chennai,Urgent Requirement for Client company position Senior Data Analyst 3+ years of experien...,"Business Analytics
Snowflake
Digital Marketing
JIRA
Data Analytics
SQL"
data analyst - global reporting and analytics,The Glove,3-6 Yrs,Not disclosed,Hyderabad,Candidate must have a bachelor s and / or master s degree with at least three to five y...,"Data Analysis
Data Analytics
Python"
data analyst - credit & analytics team - bfsi,Talville,5-10 Yrs,Not disclosed,Kolkata,"You have a bachelors degree in Business, Engineering or a related field Preferred Quali...","Business Intelligence
Artificial Intelligence
Data Mining
Tableau
Machine Learning
Yarn
Analytics
SQL"
avp - data analyst - bcbs239 - bfs,Morpheus Consulting,8-9 Yrs,Not disclosed,Mumbai,What we- re looking for: - Minimum high quality undergraduate degree - 1 or equivalent ...,"Market Risk
Data Management
Operational Risk
Credit Risk
banking"
data scientist,reach52,6-10 Yrs,Not disclosed,Bengaluru,"The core role scope and responsibilities of the Data Scientist, Bangalore will be: Over...","PDF
Excel
Data management
Test management
Javascript
Deployment
data integrity
Strategy development"
opening for business analyst- noida,Velocity Software Solutions Pvt. Ltd.,0-1 Yrs,"2,50,000 - 3,00,000 PA.",Noida,"Should be reasonably proficient in browsing the web, e-commerce, social networking, & m...","IT Skills
Project Management
BPO
project management
Business Analyst
Data Management
Data Analysis
analyst"
principal - data scientist,Tvs Motor Company,6-11 Yrs,Not disclosed,Hosur,"Purpose The role will be responsible for building complex decision algorithms, project ...","Development management
TQM
Project management
Machine learning
Middle level management
Data analytics
Manager Quality Control
Scientist 1"
data analyst,ManpowerGroup Services India Private Limited,0-5 Yrs,"2,25,000 - more than 3,00,000 PA.",Kolkata,We required smart candidates who will be working in rotational shift for one of our Aud...,"M.tech
Cobol
Data Analysis
MCA
Data Analytics
B.Tech
SQL"
data analyst - vba/power bi,Serving Skill,3-5 Yrs,Not disclosed,Gurgaon,"Job description : - Exposure of visual analytics (Power BI), . - Experience in end-to-e...","Data Science
Reporting Analytics
Visual Analytics
VBA
Power BI
Data Visualization
Data Mining
Data Analyst"
"data analyst - php mysql , viman nagar",HR Innovation Group,1-4 Yrs,Not disclosed,"Pune, Viman Nagar",Roles and Responsibilitiesgood knowledge of php MySQL Must have solid analytical skills...,"MySQL
Cisco
php
Microsoft
new data structures rapidly
data analytics tools
Linux"
analyst,Udaan.com,1-4 Yrs,Not disclosed,Bengaluru,"Job Description : Planning of monthly and quarterly targets on GMV, revenue, and cost f...","Data analysis
Interpersonal skills
Business analysis
Finance
Data analytics
Management
Principal
Python"
data scientist - machine learning/python,CarbyneTech India,3-8 Yrs,Not disclosed,Hyderabad,"You have at least 2 year experience, ideally within a Statistician role You possess str...","Predictive Modeling
R
Data Scientist
Data Management
Machine Learning
Python
SQL"
am/dm-data engineer,BGPS MANAGEMENT SOLUTIONS PRIVATE LIMITED,3-8 Yrs,Not disclosed,Delhi NCR,"Looking for a candidate, specifically from a manufacturing background. JD: Design, buil...","Hadoop
Data Analysis
Data Mining
Data Architecture
Data Analytics
Python"
job opportunity- marketing analyst - aakash education- edtech platform,Aakash Educational services Ltd,2-4 Yrs,"4,00,000 - 6,00,000 PA.",Delhi(Karol Bagh),Organizational Summary: Aakash Digital is the EdTech arm of Aakash Educational Services...,"Business Data Analyst
Impact Analysis
SQL Queries
Advanced Excel
Tableau
Marketing Analytics
R
Excel"
cloud data engineer,Seven Consultancy,3-6 Yrs,Not disclosed,Bengaluru,Jobs Details 1 You will be hands-on with the operational work relating to Datastax Cass...,"Computer science
Automation
Data analysis
Data management
Database design
Project management
Apache
Ruby"
full stack big data engineer,Amantya Technologies Pvt Ltd,6-11 Yrs,Not disclosed,Gurgaon,Responsibilities: This role will be responsible for design and implementation of big da...,"Java
R
Big Data Analytics
Algorithms
Data Analysis
Statistical Modeling
Data Mining
Data Extraction"
sre - data analytics engineer,VMware India,4-9 Yrs,Not disclosed,Pune,"What You ll Do Architect, implement, support, and enhance a data platform that supports...","Computer science
VMware
Automation
Data analysis
MIS
Social media
Billing
HTTP"
visualization and data engineer,Bloom Consulting Services,2-5 Yrs,Not disclosed,Bengaluru,JD1291 - Visualization and Data Engineer About the Job Visualization and Data Engineer ...,"advanced analytics
Data analysis
tableau
operations
Data management
Business Analyst
Data modeling
Analytical"
healthcare data analyst,SCIO Health Analytics,2-5 Yrs,Not disclosed,Chennai,"Hands on SAS programming for 3 years Should be handling large and voluminous data, clea...","data cleansing
Automation
Excel
Data management
Quality check
Healthcare
Data quality
SAS Programming"
healthcare data analyst,SCIO Health Analytics,3-6 Yrs,Not disclosed,Chennai,Hands on SAS programming Should possess good analytical skills and logical thinking Sho...,"data cleansing
Automation
Excel
SAS
Data management
Healthcare
Data quality
SAS Programming"
healthcare data analyst,SCIO Health Analytics,2-4 Yrs,Not disclosed,Chennai,Job DescriptionHands on SAS programming for 3+ yearsShould be handling large and volumi...,"data cleansing
Automation
Data management
Quality check
Healthcare
Data quality
SAS Programming
Macros"
sr.business analyst,Quest Junction,5-10 Yrs,"6,00,000 - 12,00,000 PA.","Pune, Mumbai, Bengaluru",Analyze and churn data to derive meaningful insights and validate using correlation/ re...,"business research
senior business analyst
data analytics
data analysis
business analysis
market data
business analyst
communication skills"
capacity planning analyst,Analytics Vidhya Educon Pvt. Ltd,3-8 Yrs,Not disclosed,Hyderabad,"Job Description: At Amazon, we re working to be the most customer- centric company on e...","Computer science
Data analysis
data science
Data management
HTML
Customer service
Analytics
SQL"
associate analyst / analyst,Analytics Vidhya Educon Pvt. Ltd,2-4 Yrs,Not disclosed,Gurgaon,"Job description: The Analyst will be responsible for working with statisticians, actuar...","Relationship management
Data analysis
Data management
MS Access
Coding
HTML
SPSS
US healthcare"
sales analyst,Netapp India Private Limited,4-7 Yrs,Not disclosed,Bengaluru,Typically requires a Bachelors degree and a minimum of 4 to 7 years of experience in sa...,"Data analysis
Usage
Sales operations
Data management
Analytical
Windows
Sales process
Business intelligence"
supply chain management data analyst,Squircle IT Consulting Services Pvt Ltd,3-5 Yrs,Not disclosed,Bengaluru,Skill::Supply Chain Management Data Analyst Qualification: B.E in Mechanical Experience...,"Order management
Data analysis
Supply chain management
SAP CRM
Written communication
MS Office tools
Data Analyst
SCM"
